# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz004,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz004,40.269906432697795,-127.4677121624431,209.1934633834161,79.959998,90.479998,115.219998,124.079998
csz004,40.27874225226405,-127.23314366859906,189.2228107629478,61.639999,54.619999,89.619998,84.819998
csz004,40.28710389874158,-126.9984743074014,169.2591226884606,20.24,27.839999,32.419999,41.179999
csz004,40.294990779033164,-126.76370959889715,149.30518805579453,16.3,31.119999,25.819999,48.759999
csz004,40.30240233468969,-126.52885507769788,129.3655149911517,12.76,28.759999,20.48,39.679999
csz004,40.30933804177786,-126.29391629212276,109.44789276172423,33.459999,40.019999,44.179999,52.659999
csz004,40.315797410756055,-126.05889880334159,89.56702691520218,31.419999,38.019999,40.079999,48.739999
csz004,40.321779986358095,-125.82380818451794,69.75434504294414,33.459999,36.879999,42.019999,49.419999
csz004,40.327285347485095,-125.58865001995214,50.09081046054904,37.599999,36.199999,44.879999,49.459999
csz004,40.33231310710531,-125.35342990422434,30.862815200645528,35.259999,30.499999,43.879999,42.479999
csz004,40.336862912161976,-125.11815344133765,13.997860041110766,31.019999,32.359999,40.839999,41.319999
csz004,40.3409344434892,-124.88282624386109,11.810155910200075,29.099999,30.059999,39.119999,42.339999
csz004,40.34452741573587,-124.64745393207274,15.063220645546387,27.759999,28.859999,37.479999,40.659999
csz004,40.347641577297495,-124.41204213310274,18.485296203455203,27.559999,29.779999,33.519999,36.159999
csz004,40.350276710256196,-124.17659648007641,21.31820572296126,28.759999,28.719999,36.019999,37.659999
csz004,40.35243263032859,-123.94112261125726,28.569928158282803,30.539999,27.539999,36.839999,34.639999
csz004,40.35410918682179,-123.70562616919005,44.32100930713502,29.999999,34.579999,35.879999,41.339999
csz004,40.35530626259729,-123.47011279984392,62.549684400858624,32.199999,34.319999,38.719999,41.319999
csz004,40.35602377404303,-123.23458815175532,81.61234058655418,35.519999,33.359999,43.279999,40.019999
csz004,40.356261671053346,-122.99905787517125,101.03803835004787,41.599999,39.059999,50.099999,47.039999
csz004,40.35601993701699,-122.76352762119213,120.6515489307713,41.119999,38.959999,48.379999,48.179999
csz004,40.35529858881311,-122.52800304091501,140.37416960991732,45.099999,48.599999,53.979999,57.499999
csz004,40.35409767681542,-122.29248978457655,160.16559914453026,67.779999,43.259999,76.999998,52.979999
csz004,40.35241728490408,-122.05699350069612,180.00314322764277,74.619999,56.259999,83.759998,65.899999
csz004,40.35025753048588,-121.82151983521884,199.87307272226118,81.419998,85.179998,90.979998,95.639998
csz004,40.34761856452231,-121.5860744306586,219.7666047500232,86.439998,83.079998,97.699998,93.719998
csz004,40.344500571565625,-121.35066292524125,239.67786357519293,93.479998,95.699998,103.259998,106.539998
csz004,40.44017275930022,-127.71469101039028,229.22497477986772,66.719999,0.16,68.719999,0.28
csz004,40.449541060015484,-127.47961000064423,209.25449188374907,90.179998,91.879998,104.559998,106.659998
csz004,40.45843283307228,-127.24442153697835,189.29027693608074,86.799998,63.759999,101.179998,77.339998
csz004,40.4668474441557,-127.00913117925535,169.33454218628154,61.739999,61.199999,75.639998,72.619999
csz004,40.47478429409484,-126.77374450303824,149.39068107903267,55.559999,52.239999,67.419999,63.779999
csz004,40.48224281872126,-126.53826709871794,129.46417578051717,47.779999,46.119999,58.279999,59.239999
csz004,40.489222488735436,-126.30270457064074,109.56449038568292,43.319999,44.059999,53.959999,55.559999
csz004,40.495722809581416,-126.06706253623601,89.70946799723177,40.319999,40.079999,50.399999,50.539999
csz004,40.50174332132946,-125.83134662514364,69.93715051321914,40.239999,35.739999,51.159999,46.239999
csz004,40.50728359856687,-125.5955624783417,50.345066293050465,32.099999,33.839999,43.459999,48.719999
csz004,40.51234325029686,-125.35971574727398,31.27378785081633,34.039999,30.079999,95.319998,94.659998
csz004,40.51692191984549,-125.12381209297749,13.063503649748023,33.659999,29.559999,89.339998,76.099998
csz004,40.52101928477677,-124.88785718521012,7.692548254473175,44.899999,56.339999,57.719999,67.339999
csz004,40.52463505681582,-124.65185670157818,11.834990860381279,31.279999,34.699999,44.839999,53.359999
csz004,40.52776898178008,-124.41581632666393,15.707640278550763,29.479999,27.159999,38.979999,39.879999
