# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz003,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz003,40.269906432697795,-127.4677121624431,209.1934633834161,79.639998,54.099999,167.779997,77.259998
csz003,40.27874225226405,-127.23314366859906,189.2228107629478,39.699999,27.839999,94.279998,55.799999
csz003,40.28710389874158,-126.9984743074014,169.2591226884606,22.58,14.38,47.299999,39.719999
csz003,40.294990779033164,-126.76370959889715,149.30518805579453,10.78,14.02,31.899999,103.219998
csz003,40.30240233468969,-126.52885507769788,129.3655149911517,13.72,11.4,23.96,130.999997
csz003,40.30933804177786,-126.29391629212276,109.44789276172423,3.26,26.479999,101.219998,199.859996
csz003,40.315797410756055,-126.05889880334159,89.56702691520218,7.06,18.5,145.699997,196.319996
csz003,40.321779986358095,-125.82380818451794,69.75434504294414,6.64,26.839999,41.359999,199.859996
csz003,40.327285347485095,-125.58865001995214,50.09081046054904,5.36,22.16,37.839999,199.479996
csz003,40.33231310710531,-125.35342990422434,30.862815200645528,4.88,25.139999,56.879999,199.319996
csz003,40.336862912161976,-125.11815344133765,13.997860041110766,1.46,6.36,7.28,194.639996
csz003,40.3409344434892,-124.88282624386109,11.810155910200075,3.26,4.9,95.599998,188.659996
csz003,40.34452741573587,-124.64745393207274,15.063220645546387,7.5,9.96,193.799996,195.039996
csz003,40.347641577297495,-124.41204213310274,18.485296203455203,172.659997,157.959997,203.299996,202.479996
csz003,40.350276710256196,-124.17659648007641,21.31820572296126,174.579997,192.319996,203.279996,210.199996
csz003,40.35243263032859,-123.94112261125726,23.027291742112276,191.419996,199.379996,208.619996,213.099996
csz003,40.35410918682179,-123.70562616919005,24.26497829527756,187.319996,194.839996,203.819996,209.219996
csz003,40.35530626259729,-123.47011279984392,26.16753215163941,184.339996,183.279996,200.859996,198.619996
csz003,40.35602377404303,-123.23458815175532,29.325116311678247,184.319996,183.859996,200.979996,201.199996
csz003,40.356261671053346,-122.99905787517125,34.867796217861134,182.779996,175.879996,199.599996,193.299996
csz003,40.35601993701699,-122.76352762119213,42.44526498627621,174.499997,164.879997,188.139996,179.319996
csz003,40.35529858881311,-122.52800304091501,53.96287258373603,167.939997,159.759997,182.339996,172.459997
csz003,40.35409767681542,-122.29248978457655,69.44337911701795,170.039997,157.459997,181.359996,169.179997
csz003,40.35241728490408,-122.05699350069612,86.79155837828505,161.799997,157.279997,178.459996,170.639997
csz003,40.35025753048588,-121.82151983521884,105.08647413719231,164.059997,158.679997,180.999996,172.539997
csz003,40.34761856452231,-121.5860744306586,123.90948567387319,159.919997,156.239997,179.979996,173.159997
csz003,40.344500571565625,-121.35066292524125,143.05228377406704,173.839997,154.319997,193.659996,171.039997
csz003,40.44017275930022,-127.71469101039028,229.22497477986772,13.22,0.16,16.8,0.28
