# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz014,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz014,40.269906432697795,-127.4677121624431,209.1934633834161,98.679998,92.979998,112.119998,107.099998
csz014,40.27874225226405,-127.23314366859906,189.2228107629478,95.099998,94.679998,109.039998,112.019998
csz014,40.28710389874158,-126.9984743074014,169.2591226884606,108.719998,106.879998,122.839998,122.659998
csz014,40.294990779033164,-126.76370959889715,149.30518805579453,114.119998,110.179998,136.839997,133.659997
csz014,40.30240233468969,-126.52885507769788,129.3655149911517,116.739998,115.579998,137.359997,135.959997
csz014,40.30933804177786,-126.29391629212276,109.44789276172423,118.119998,83.859998,137.699997,101.739998
csz014,40.315797410756055,-126.05889880334159,89.56702691520218,119.959998,67.739999,138.959997,82.739998
csz014,40.321779986358095,-125.82380818451794,69.75434504294414,115.679998,44.059999,134.439997,59.739999
csz014,40.327285347485095,-125.58865001995214,50.09081046054904,118.939998,40.859999,133.899997,53.419999
csz014,40.33231310710531,-125.35342990422434,30.862815200645528,117.359998,35.599999,128.559997,47.439999
csz014,40.336862912161976,-125.11815344133765,13.997860041110766,114.819998,29.699999,125.199997,40.579999
csz014,40.3409344434892,-124.88282624386109,11.810155910200075,119.219998,29.679999,127.539997,37.519999
csz014,40.34452741573587,-124.64745393207274,15.063220645546387,120.079998,31.159999,125.279997,35.599999
csz014,40.347641577297495,-124.41204213310274,18.485296203455203,52.979999,30.399999,56.859999,34.499999
csz014,40.350276710256196,-124.17659648007641,21.31820572296126,62.939999,33.019999,68.519999,39.179999
csz014,40.35243263032859,-123.94112261125726,28.569928158282803,81.019998,33.879999,90.239998,41.759999
csz014,40.35410918682179,-123.70562616919005,44.32100930713502,44.539999,38.739999,54.759999,47.659999
csz014,40.35530626259729,-123.47011279984392,62.549684400858624,67.079999,72.819999,76.559998,83.439998
csz014,40.35602377404303,-123.23458815175532,81.61234058655418,84.199998,67.159999,95.299998,79.839998
csz014,40.356261671053346,-122.99905787517125,101.03803835004787,87.059998,87.819998,100.239998,103.279998
csz014,40.35601993701699,-122.76352762119213,120.6515489307713,95.959998,104.199998,111.679998,118.919998
csz014,40.35529858881311,-122.52800304091501,140.37416960991732,109.119998,118.419998,123.459998,131.179997
csz014,40.35409767681542,-122.29248978457655,160.16559914453026,110.019998,119.099998,119.479998,126.539997
csz014,40.35241728490408,-122.05699350069612,180.00314322764277,118.759998,120.779998,131.419997,131.079997
