# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz022,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz022,40.269906432697795,-127.4677121624431,209.1934633834161,53.359999,51.959999,184.899996,157.999997
csz022,40.27874225226405,-127.23314366859906,189.2228107629478,50.719999,49.079999,265.339995,264.199995
csz022,40.28710389874158,-126.9984743074014,169.2591226884606,272.419995,273.039995,281.799994,284.879994
csz022,40.294990779033164,-126.76370959889715,149.30518805579453,265.659995,260.439995,277.319994,273.879995
csz022,40.30240233468969,-126.52885507769788,129.3655149911517,261.819995,56.359999,273.579995,272.079995
csz022,40.30933804177786,-126.29391629212276,109.44789276172423,190.759996,40.359999,264.719995,270.779995
csz022,40.315797410756055,-126.05889880334159,89.56702691520218,259.579995,29.819999,261.079995,261.239995
csz022,40.321779986358095,-125.82380818451794,69.75434504294414,259.439995,28.339999,263.839995,262.599995
csz022,40.327285347485095,-125.58865001995214,50.09081046054904,29.339999,22.8,266.139995,50.799999
csz022,40.33231310710531,-125.35342990422434,30.862815200645528,21.78,20.16,264.399995,35.859999
csz022,40.336862912161976,-125.11815344133765,13.997860041110766,17.44,15.24,244.819995,30.999999
csz022,40.3409344434892,-124.88282624386109,11.810155910200075,13.94,13.92,101.779998,26.619999
csz022,40.34452741573587,-124.64745393207274,15.063220645546387,10.84,13.34,25.0,23.4
csz022,40.347641577297495,-124.41204213310274,18.485296203455203,10.34,11.24,18.84,17.86
csz022,40.350276710256196,-124.17659648007641,21.31820572296126,11.04,12.4,18.04,18.42
csz022,40.35243263032859,-123.94112261125726,28.569928158282803,12.92,13.6,22.1,23.9
csz022,40.35410918682179,-123.70562616919005,44.32100930713502,15.2,15.32,26.039999,28.639999
csz022,40.35530626259729,-123.47011279984392,59.505021559898424,18.04,17.88,44.139999,38.639999
csz022,40.35602377404303,-123.23458815175532,76.00551750236698,20.76,20.66,62.359999,53.979999
csz022,40.356261671053346,-122.99905787517125,93.87667306611633,22.92,24.28,65.639999,57.019999
csz022,40.35601993701699,-122.76352762119213,112.46697652759714,26.039999,25.359999,119.859998,84.659998
csz022,40.35529858881311,-122.52800304091501,131.47171569007705,26.839999,31.119999,130.739997,180.899996
csz022,40.35409767681542,-122.29248978457655,150.73421521457897,34.339999,32.239999,206.359996,224.759996
csz022,40.35241728490408,-122.05699350069612,170.1669649797283,42.059999,40.919999,208.979996,235.519995
csz022,40.35025753048588,-121.82151983521884,189.71765719892275,44.199999,44.419999,220.119996,232.839995
csz022,40.34761856452231,-121.5860744306586,209.35325314254123,50.399999,52.719999,218.839996,256.579995
csz022,40.344500571565625,-121.35066292524125,229.05191993312135,54.999999,59.879999,212.139996,244.919995
csz022,40.44017275930022,-127.71469101039028,229.22497477986772,54.279999,0.16,74.699999,0.28
csz022,40.449541060015484,-127.47961000064423,209.25449188374907,47.099999,50.679999,84.239998,95.439998
csz022,40.45843283307228,-127.24442153697835,189.29027693608074,45.859999,46.499999,80.639998,77.119998
csz022,40.4668474441557,-127.00913117925535,169.33454218628154,40.659999,38.979999,57.939999,59.759999
csz022,40.47478429409484,-126.77374450303824,149.39068107903267,36.159999,37.739999,57.699999,66.339999
csz022,40.48224281872126,-126.53826709871794,129.46417578051717,35.719999,34.779999,57.619999,56.839999
csz022,40.489222488735436,-126.30270457064074,109.56449038568292,33.739999,32.839999,55.299999,52.199999
csz022,40.495722809581416,-126.06706253623601,89.70946799723177,27.379999,30.219999,47.199999,48.119999
csz022,40.50174332132946,-125.83134662514364,69.93715051321914,27.659999,27.999999,45.339999,44.899999
csz022,40.50728359856687,-125.5955624783417,50.345066293050465,23.98,24.68,43.219999,42.799999
csz022,40.51234325029686,-125.35971574727398,31.27378785081633,22.08,20.66,42.759999,41.619999
csz022,40.51692191984549,-125.12381209297749,13.063503649748023,18.72,16.48,36.779999,43.499999
csz022,40.52101928477677,-124.88785718521012,7.692548254473175,16.34,14.42,26.219999,37.259999
csz022,40.52463505681582,-124.65185670157818,11.834990860381279,8.48,8.52,15.02,14.78
csz022,40.52776898178008,-124.41581632666393,15.707640278550763,8.98,9.22,16.14,17.3
csz022,40.53042083951867,-124.17974175115319,18.66028501624534,10.92,11.26,16.04,16.2
csz022,40.532590443859846,-123.94363867096286,23.69350278726613,13.74,14.16,22.48,24.1
csz022,40.534277642566465,-123.70751278636855,34.603078682471654,14.04,15.54,24.36,26.599999
csz022,40.53548231729965,-123.47136980113213,51.3163147526031,20.5,18.8,31.439999,30.259999
csz022,40.536204383590515,-123.2352154216292,69.78076568553695,23.36,23.04,37.299999,35.899999
csz022,40.5364437908199,-122.99905535597684,88.91201445681001,25.739999,24.8,46.219999,37.399999
csz022,40.53620052220633,-122.76289531316098,108.35745188005261,27.899999,27.659999,47.439999,46.399999
csz022,40.53547459480195,-122.52674100216413,127.97393716695295,30.199999,30.399999,55.639999,53.139999
csz022,40.53426605949665,-122.29059813109285,147.69333160268175,33.779999,34.399999,59.419999,62.899999
csz022,40.532575001030224,-122.05447240630532,167.4792898380981,38.059999,36.839999,80.379998,66.899999
csz022,40.530401538012576,-121.81836953153896,187.31072043443038,47.539999,40.359999,101.939998,89.959998
csz022,40.52774582295218,-121.58229520703799,207.1745667513406,46.179999,48.819999,97.039998,92.919998
csz022,40.52460804229243,-121.34625512868091,227.06232291550242,53.299999,55.099999,114.099998,109.339998
csz022,40.61973961280824,-127.72732088120365,230.96027229891828,52.759999,53.279999,117.239998,108.279998
csz022,40.62916715908146,-127.49161543129566,211.1539721176921,52.059999,47.999999,97.999998,82.539998
csz022,40.63811517987387,-127.25580142934707,191.38799857594037,48.439999,46.519999,93.519998,89.379998
csz022,40.64658303435951,-127.01988449127154,171.6762764720713,42.039999,42.259999,74.079999,73.159999
csz022,40.654570117216686,-126.78387024896796,151.99268032803272,37.019999,38.339999,62.599999,68.479999
csz022,40.66207585848506,-126.54776434943228,132.21331590978187,35.319999,40.439999,57.839999,59.899999
csz022,40.66909972343085,-126.31157245386927,112.38430452050838,31.019999,34.979999,54.079999,54.619999
csz022,40.67564121242018,-126.07530023680411,92.60217582327543,33.559999,32.499999,56.319999,52.939999
csz022,40.6816998608007,-125.83895338519423,72.85209871650012,29.759999,30.319999,47.979999,47.699999
csz022,40.68727523879122,-125.60253759754104,53.14951219017066,26.519999,26.219999,43.439999,44.059999
csz022,40.692366951379725,-125.36605858300162,33.39931310626587,24.32,25.699999,41.099999,41.399999
csz022,40.69697463822929,-125.12952206050043,14.19086629552914,20.96,21.7,42.919999,51.439999
csz022,40.70109797359249,-124.89293375784112,6.972132510106453,15.16,13.72,22.66,34.599999
csz022,40.704736666233636,-124.6562994108182,10.870893760727938,10.16,11.04,17.06,17.9
csz022,40.707890459359504,-124.4196247623288,14.54817952134355,10.02,12.04,16.4,17.56
csz022,40.71055913055798,-124.18291556148431,17.338295789464507,9.92,11.74,16.04,17.04
csz022,40.71274249174505,-123.9461775627223,19.659492866104173,14.64,14.56,22.7,22.9
csz022,40.71444038911982,-123.70941652491804,32.223189613152634,18.44,21.18,29.039999,32.079999
csz022,40.71565270312788,-123.4726382104964,49.74258793763343,21.4,22.94,35.779999,34.479999
csz022,40.71637934843263,-123.23584838454343,68.63174305286259,24.44,24.28,39.799999,37.999999
csz022,40.71662027389498,-122.99905281391824,88.01310816876577,27.599999,25.439999,43.479999,41.819999
csz022,40.716375462561054,-122.7622572663646,107.62108656101758,28.319999,30.179999,44.259999,47.599999
csz022,40.71564493165817,-122.52546750962277,127.35104823883265,34.119999,32.499999,58.399999,55.839999
csz022,40.714428732598954,-122.28868931054116,147.1539367112773,33.699999,35.139999,58.919999,66.299999
csz022,40.71272695099364,-122.05192843418808,167.0038125480396,39.819999,39.539999,84.719998,84.359998
csz022,40.71053970667054,-121.81519064296351,186.8857053223582,42.119999,41.979999,93.299998,90.419998
csz022,40.70786715370458,-121.57848169571079,206.79038165467145,51.459999,46.939999,105.719998,95.419998
csz022,40.70470948045427,-121.34180734682832,226.7118419529063,54.379999,53.939999,116.059998,105.279998
csz022,40.79929758532482,-127.74006505053632,229.6213225694653,51.739999,0.16,77.979998,0.28
csz022,40.80878469041836,-127.50372955239837,209.64166289198081,47.199999,47.399999,96.059998,89.499998
csz022,40.81778925666371,-127.26728438762821,189.6663246940915,46.279999,47.639999,87.359998,84.019998
csz022,40.826310636640706,-127.03073522901848,169.69682957510418,43.019999,41.119999,73.199999,70.879999
csz022,40.83434821879841,-126.79408776563841,149.7355105931786,39.519999,39.279999,66.119999,67.619999
csz022,40.84190142731072,-126.5573477019294,129.78613520428792,39.719999,40.019999,64.379999,63.439999
csz022,40.848969721940264,-126.32052075680059,109.85520476158767,38.339999,37.279999,57.939999,58.679999
csz022,40.855552597910595,-126.08361266272429,89.95497408369546,35.259999,34.759999,53.559999,53.319999
csz022,40.86164958578654,-125.84662916483168,70.11158175890624,32.719999,30.479999,52.199999,51.299999
csz022,40.86726025136283,-125.60957602000823,50.392208400588,30.959999,30.699999,46.799999,48.799999
csz022,40.872384195561054,-125.37245899598929,30.795576776472814,29.639999,30.519999,44.979999,44.859999
csz022,40.87702105433475,-125.13528387045562,11.927823999914596,23.18,23.68,40.399999,38.079999
csz022,40.881170498582826,-124.89805643012895,6.778105905463332,12.18,14.34,26.319999,32.939999
csz022,40.884832234071226,-124.6607824698675,10.115983161970668,15.1,16.06,23.7,24.32
csz022,40.8880060013628,-124.42346779176155,13.486204206337561,16.14,16.02,24.52,23.1
csz022,40.890691575755454,-124.18611820422895,16.104207974543844,18.4,20.52,25.0,27.139999
csz022,40.8928887672286,-123.94873952111068,19.105197408405097,22.08,22.48,31.839999,30.499999
csz022,40.894597420397744,-123.7113375607664,32.86030377211797,24.7,23.88,34.319999,35.839999
csz022,40.89581741447743,-123.47391814516997,50.937124737039625,25.679999,26.899999,36.919999,38.539999
csz022,40.89654866325239,-123.23648709900502,69.99022793553672,28.519999,26.579999,43.339999,41.339999
csz022,40.89679111505693,-122.99905024876047,89.40773490997664,33.159999,30.739999,53.419999,48.859999
csz022,40.89654475276262,-122.76161342182607,109.03602214382738,33.699999,32.679999,50.919999,51.479999
csz022,40.89580959377416,-122.52418244558797,128.73406902860884,35.719999,34.179999,64.819999,61.159999
csz022,40.89458569003359,-122.28676314652424,148.4851916214647,36.359999,36.399999,66.719999,74.679999
csz022,40.89287312803262,-122.04936134930038,168.29511117612176,43.479999,40.059999,91.619998,77.259998
csz022,40.8906720288334,-121.81198287586497,188.1452574219892,40.919999,48.579999,92.219998,94.279998
csz022,40.88798254809734,-121.5746335445451,207.99693059823633,48.259999,46.139999,108.179998,101.859998
csz022,40.88480487612231,-121.33731916914194,227.85618368921178,55.679999,54.279999,122.539998,117.059998
csz022,40.978846633409425,-127.7529246894755,229.7584238438277,49.539999,0.16,71.659999,0.28
csz022,40.988393614287126,-127.51595347842937,209.79181973199536,52.099999,52.159999,104.199998,95.639998
csz022,40.997455027223864,-127.27887146939142,189.8322812992582,45.999999,45.339999,88.899998,91.099998
csz022,41.006030218120664,-127.041684392876,169.88229437138972,44.959999,43.059999,83.699998,81.319998
csz022,41.01411856911736,-126.80439799597188,149.94566652602842,44.499999,39.899999,74.219999,69.639999
csz022,41.021719498446906,-126.56701804142125,130.02853750748403,38.059999,42.139999,63.679999,66.259999
csz022,41.028832460297835,-126.32955030669869,110.0879877923523,38.199999,39.539999,63.359999,58.999999
csz022,41.0354569446852,-126.0920005830902,90.12999723276695,35.279999,40.699999,58.339999,60.359999
csz022,41.04159247732974,-125.85437467477219,70.19596099009499,35.279999,36.559999,55.579999,54.999999
csz022,41.04723861954549,-125.61667839789045,50.31434901029613,33.299999,31.499999,54.299999,51.879999
csz022,41.05239496813558,-125.37891757963916,30.587544407702005,31.719999,29.839999,53.179999,50.019999
csz022,41.05706115529654,-125.1410980573399,11.817979682695565,24.48,26.959999,44.199999,44.099999
csz022,41.06123684853076,-124.9032256775206,6.678901156999102,10.96,10.4,30.559999,31.659999
csz022,41.064921750567414,-124.66530629499455,9.444564616092828,12.88,10.12,29.379999,27.819999
csz022,41.068115599291644,-124.42734577193946,12.35889703497158,14.7,18.06,32.199999,31.959999
csz022,41.07081816768212,-124.18934997697635,15.058043467144474,23.18,25.959999,34.179999,35.119999
csz022,41.07302926375691,-123.95132478424861,19.12041307533272,29.539999,29.319999,38.539999,39.339999
csz022,41.07474873052767,-123.71327607250096,33.94041836461949,31.399999,31.999999,42.159999,42.259999
csz022,41.07597644596219,-123.47520972415849,52.20941597336435,32.879999,31.199999,44.959999,46.219999
csz022,41.07671232295529,-123.23713162440559,71.41214336457875,32.819999,32.259999,46.839999,48.739999
csz022,41.07695630930797,-122.999047660265,90.91939917212895,33.399999,35.199999,49.659999,52.599999
