# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz017,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz017,40.269906432697795,-127.4677121624431,209.1934633834161,79.899998,62.859999,268.679995,262.499995
csz017,40.27874225226405,-127.23314366859906,189.2228107629478,267.519995,272.659995,280.999994,283.019994
csz017,40.28710389874158,-126.9984743074014,169.2591226884606,252.499995,264.379995,261.599995,290.999994
csz017,40.294990779033164,-126.76370959889715,149.30518805579453,244.379995,245.399995,259.419995,273.659995
csz017,40.30240233468969,-126.52885507769788,129.3655149911517,239.799995,236.339995,253.359995,257.719995
csz017,40.30933804177786,-126.29391629212276,109.44789276172423,237.599995,36.099999,250.479995,244.539995
csz017,40.315797410756055,-126.05889880334159,89.56702691520218,235.119995,33.319999,244.659995,264.199995
csz017,40.321779986358095,-125.82380818451794,69.75434504294414,71.639999,30.719999,249.019995,228.759995
csz017,40.327285347485095,-125.58865001995214,50.09081046054904,80.059998,24.68,257.219995,224.479996
csz017,40.33231310710531,-125.35342990422434,30.862815200645528,31.919999,18.64,244.459995,243.399995
csz017,40.336862912161976,-125.11815344133765,13.997860041110766,26.299999,23.96,244.919995,229.799995
csz017,40.3409344434892,-124.88282624386109,11.810155910200075,20.9,20.62,244.359995,248.019995
csz017,40.34452741573587,-124.64745393207274,15.063220645546387,22.46,20.26,248.479995,242.739995
csz017,40.347641577297495,-124.41204213310274,18.485296203455203,24.1,20.44,228.259995,214.879996
csz017,40.350276710256196,-124.17659648007641,23.870132564974377,23.66,24.12,228.879995,248.539995
csz017,40.35243263032859,-123.94112261125726,38.84294249694092,26.779999,23.8,231.119995,225.839995
csz017,40.35410918682179,-123.70562616919005,56.98916877562168,24.74,25.799999,223.139996,235.779995
csz017,40.35530626259729,-123.47011279984392,76.07073395319546,80.719998,37.659999,239.519995,245.599995
csz017,40.35602377404303,-123.23458815175532,95.52877944014706,35.859999,35.039999,240.239995,246.399995
csz017,40.356261671053346,-122.99905787517125,115.17264762841953,41.139999,34.359999,242.779995,241.779995
csz017,40.35601993701699,-122.76352762119213,134.9211985952638,45.819999,52.419999,252.579995,251.799995
csz017,40.35529858881311,-122.52800304091501,154.73435651026026,50.399999,51.739999,245.799995,250.639995
csz017,40.35409767681542,-122.29248978457655,174.59012799822185,53.739999,53.039999,245.079995,250.679995
csz017,40.35241728490408,-122.05699350069612,194.47546200562144,55.659999,54.599999,245.799995,246.539995
csz017,40.35025753048588,-121.82151983521884,214.3821334056925,63.059999,63.539999,251.079995,244.919995
csz017,40.34761856452231,-121.5860744306586,234.30470491774437,72.799999,61.399999,248.119995,247.519995
csz017,40.344500571565625,-121.35066292524125,254.23943996339676,66.159999,74.319999,238.739995,249.419995
