# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz028,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz028,40.269906432697795,-127.4677121624431,209.1934633834161,36.399999,46.459999,122.799998,151.139997
csz028,40.27874225226405,-127.23314366859906,189.2228107629478,27.919999,22.68,50.759999,39.559999
csz028,40.28710389874158,-126.9984743074014,169.2591226884606,15.9,15.16,43.059999,37.299999
csz028,40.294990779033164,-126.76370959889715,149.30518805579453,7.04,7.58,27.419999,45.439999
csz028,40.30240233468969,-126.52885507769788,129.3655149911517,5.4,2.36,31.559999,35.739999
csz028,40.30933804177786,-126.29391629212276,109.44789276172423,5.74,24.02,119.619998,247.139995
csz028,40.315797410756055,-126.05889880334159,89.56702691520218,10.24,218.219996,180.359996,262.099995
csz028,40.321779986358095,-125.82380818451794,69.75434504294414,7.72,173.199997,24.86,263.219995
csz028,40.327285347485095,-125.58865001995214,50.09081046054904,19.94,236.279995,243.599995,262.199995
csz028,40.33231310710531,-125.35342990422434,30.862815200645528,25.439999,258.339995,245.079995,274.879995
csz028,40.336862912161976,-125.11815344133765,13.997860041110766,99.559998,255.439995,251.059995,270.099995
csz028,40.3409344434892,-124.88282624386109,11.810155910200075,134.919997,262.379995,248.019995,268.899995
csz028,40.34452741573587,-124.64745393207274,15.063220645546387,105.699998,245.159995,244.059995,262.519995
csz028,40.347641577297495,-124.41204213310274,18.485296203455203,113.699998,235.539995,238.959995,245.259995
csz028,40.350276710256196,-124.17659648007641,21.31820572296126,146.799997,238.639995,238.039995,244.399995
csz028,40.35243263032859,-123.94112261125726,23.027291742112276,202.859996,228.079995,243.939995,238.519995
csz028,40.35410918682179,-123.70562616919005,24.26497829527756,145.019997,214.239996,231.279995,224.399996
csz028,40.35530626259729,-123.47011279984392,26.16753215163941,134.799997,196.699996,217.999996,217.139996
csz028,40.35602377404303,-123.23458815175532,29.325116311678247,130.999997,190.759996,216.699996,216.739996
csz028,40.356261671053346,-122.99905787517125,34.867796217861134,132.019997,190.339996,209.119996,214.959996
csz028,40.35601993701699,-122.76352762119213,42.44526498627621,129.839997,157.039997,199.899996,200.539996
csz028,40.35529858881311,-122.52800304091501,53.96287258373603,111.119998,136.279997,189.359996,189.319996
csz028,40.35409767681542,-122.29248978457655,69.44337911701795,92.539998,138.359997,184.859996,186.859996
csz028,40.35241728490408,-122.05699350069612,86.79155837828505,105.999998,132.239997,186.879996,181.879996
csz028,40.35025753048588,-121.82151983521884,105.08647413719231,119.579998,142.959997,186.639996,177.759996
csz028,40.34761856452231,-121.5860744306586,123.90948567387319,129.439997,153.739997,190.019996,179.599996
csz028,40.344500571565625,-121.35066292524125,143.05228377406704,152.299997,141.799997,200.339996,171.559997
csz028,40.44017275930022,-127.71469101039028,229.22497477986772,21.9,0.16,24.32,0.28
csz028,40.449541060015484,-127.47961000064423,209.25449188374907,133.459997,139.359997,159.519997,163.699997
csz028,40.45843283307228,-127.24442153697835,189.29027693608074,130.979997,145.599997,153.379997,156.979997
csz028,40.4668474441557,-127.00913117925535,169.33454218628154,130.579997,128.699997,133.499997,131.759997
csz028,40.47478429409484,-126.77374450303824,149.39068107903267,112.839998,122.239998,116.359998,127.299997
csz028,40.48224281872126,-126.53826709871794,129.46417578051717,108.539998,106.839998,111.959998,110.159998
csz028,40.489222488735436,-126.30270457064074,109.56449038568292,65.399999,72.999999,70.939999,75.539998
csz028,40.495722809581416,-126.06706253623601,89.70946799723177,63.919999,60.879999,67.639999,66.019999
csz028,40.50174332132946,-125.83134662514364,69.93715051321914,58.279999,57.879999,63.879999,63.259999
