# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz008,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz008,40.269906432697795,-127.4677121624431,209.1934633834161,184.799996,208.299996,221.579996,218.479996
csz008,40.27874225226405,-127.23314366859906,189.2228107629478,196.819996,187.999996,216.079996,205.799996
csz008,40.28710389874158,-126.9984743074014,169.2591226884606,167.959997,186.759996,202.179996,203.759996
csz008,40.294990779033164,-126.76370959889715,149.30518805579453,158.399997,162.659997,172.419997,190.519996
csz008,40.30240233468969,-126.52885507769788,129.3655149911517,155.219997,81.799998,168.439997,170.519997
csz008,40.30933804177786,-126.29391629212276,109.44789276172423,152.839997,40.559999,161.639997,156.639997
csz008,40.315797410756055,-126.05889880334159,89.56702691520218,144.479997,33.539999,158.719997,145.819997
csz008,40.321779986358095,-125.82380818451794,69.75434504294414,144.339997,30.379999,155.399997,149.579997
csz008,40.327285347485095,-125.58865001995214,50.09081046054904,138.359997,30.739999,149.239997,124.199998
csz008,40.33231310710531,-125.35342990422434,30.862815200645528,32.099999,28.159999,144.399997,141.799997
csz008,40.336862912161976,-125.11815344133765,13.997860041110766,112.519998,25.179999,144.639997,39.899999
csz008,40.3409344434892,-124.88282624386109,11.810155910200075,29.279999,24.76,146.459997,41.799999
csz008,40.34452741573587,-124.64745393207274,15.063220645546387,24.94,24.1,140.279997,37.719999
csz008,40.347641577297495,-124.41204213310274,18.485296203455203,26.939999,23.88,139.599997,32.579999
csz008,40.350276710256196,-124.17659648007641,23.870132564974377,25.179999,25.899999,134.639997,36.359999
csz008,40.35243263032859,-123.94112261125726,38.84294249694092,30.399999,28.919999,133.259997,39.959999
csz008,40.35410918682179,-123.70562616919005,56.98916877562168,30.659999,29.099999,131.039997,39.839999
csz008,40.35530626259729,-123.47011279984392,76.07073395319546,33.219999,31.139999,123.239998,45.059999
csz008,40.35602377404303,-123.23458815175532,95.52877944014706,35.739999,34.199999,116.779998,62.899999
csz008,40.356261671053346,-122.99905787517125,115.17264762841953,32.819999,38.159999,93.719998,131.919997
csz008,40.35601993701699,-122.76352762119213,134.9211985952638,44.459999,37.419999,122.999998,90.679998
