# RealizationID,Latitude,Longitude,RCD,Ds575_x,Ds575_y,Ds595_x,Ds595_y
csz002_sd10,40.26059706792827,-127.70217428430801,229.16926317026025,0.0,0.0,0.0,0.0
csz002_sd10,40.269906432697795,-127.4677121624431,209.1934633834161,199.699996,211.379996,220.119996,217.259996
csz002_sd10,40.27874225226405,-127.23314366859906,189.2228107629478,187.539996,172.739997,203.059996,184.979996
csz002_sd10,40.28710389874158,-126.9984743074014,169.2591226884606,167.579997,169.919997,177.439996,187.759996
csz002_sd10,40.294990779033164,-126.76370959889715,149.30518805579453,158.179997,166.799997,171.079997,185.679996
csz002_sd10,40.30240233468969,-126.52885507769788,129.3655149911517,161.139997,172.279997,168.419997,183.859996
csz002_sd10,40.30933804177786,-126.29391629212276,109.44789276172423,151.179997,169.959997,158.339997,184.059996
csz002_sd10,40.315797410756055,-126.05889880334159,89.56702691520218,160.339997,43.679999,168.639997,194.039996
csz002_sd10,40.321779986358095,-125.82380818451794,69.75434504294414,161.639997,44.119999,171.119997,193.239996
csz002_sd10,40.327285347485095,-125.58865001995214,50.09081046054904,164.739997,34.459999,169.879997,182.719996
csz002_sd10,40.33231310710531,-125.35342990422434,30.862815200645528,163.559997,29.539999,168.399997,175.539996
csz002_sd10,40.336862912161976,-125.11815344133765,13.997860041110766,32.079999,30.919999,173.099997,189.819996
csz002_sd10,40.3409344434892,-124.88282624386109,11.810155910200075,30.119999,29.199999,175.479996,186.099996
csz002_sd10,40.34452741573587,-124.64745393207274,15.063220645546387,29.179999,26.839999,178.519996,181.559996
csz002_sd10,40.347641577297495,-124.41204213310274,18.485296203455203,28.199999,26.939999,164.159997,175.899996
csz002_sd10,40.350276710256196,-124.17659648007641,21.31820572296126,27.119999,30.959999,159.759997,185.339996
csz002_sd10,40.35243263032859,-123.94112261125726,28.569928158282803,27.939999,29.299999,164.239997,176.959996
csz002_sd10,40.35410918682179,-123.70562616919005,44.32100930713502,25.979999,28.479999,162.139997,175.179996
